Cycle,Discharge_Capacity_mAh_g,Coulombic_Efficiency_%,DCIR_mOhm,Chemistry,Binder,SOH_%
1,154.59261387159083,99.90896883734011,25.909639004675327,LFP,PVDF,99.73717023973602
2,154.1932578452944,99.91035500197934,25.70681414386141,LFP,PVDF,99.47952119051251
3,153.80903755608958,99.92785837559246,25.352750993301854,LFP,PVDF,99.23163713296101
4,153.43543326776947,99.91793664115639,27.049444752510105,LFP,PVDF,98.99060210823836
5,153.0637799293487,99.78805149881653,27.025802018260155,LFP,PVDF,98.75082576087013
6,152.70677192979366,99.80187692269111,27.479435346572263,LFP,PVDF,98.52049801922172
7,152.3641262095583,99.86649505751996,27.55327367414781,LFP,PVDF,98.29943626423116
8,152.0220981012225,99.8585468131321,26.750863411205255,LFP,PVDF,98.07877296853064
9,151.6868793986146,99.8508604688798,27.25797483036102,LFP,PVDF,97.86250283781587
10,151.36610417969288,100.0,27.689531459764858,LFP,PVDF,97.65555108367283
11,151.04660249716332,99.83855204471965,27.57929478135482,LFP,PVDF,97.44942096591181
12,150.73708843310203,99.85942942643565,26.454696203486396,LFP,PVDF,97.24973447296905
13,150.4363472891565,99.84312072249608,26.941088270620185,LFP,PVDF,97.05570792848806
14,150.1333429266521,99.82088305914758,26.37831883030299,LFP,PVDF,96.86022124300135
15,149.84339322654523,99.76556382604068,28.108102054517445,LFP,PVDF,96.67315692035177
16,149.56210325973836,99.81240807585414,27.492349268901762,LFP,PVDF,96.49167952241184
17,149.281437874118,99.72906686837817,26.817285611006923,LFP,PVDF,96.31060508007614
18,149.01131002951655,99.74922960009141,27.783401368811713,LFP,PVDF,96.136329051301
19,148.73849212258222,99.73027638629348,27.75625648091579,LFP,PVDF,95.96031749844013
20,148.47255160488123,99.75222172538358,27.316325436065682,LFP,PVDF,95.78874297089112
21,148.22125814295464,99.85755165625969,26.90711518439926,LFP,PVDF,95.62661815674493
22,147.96054480640223,99.64225130880367,28.1031463911856,LFP,PVDF,95.45841600413047
23,147.7098722297406,99.7638264677215,27.880615401807585,LFP,PVDF,95.29669176112296
24,147.4577376976063,99.64287756316297,28.46463678347128,LFP,PVDF,95.13402432103632
25,147.21643351052626,99.69401567059558,28.040327002223986,LFP,PVDF,94.97834420033952
26,146.97799314828404,99.76625574903646,28.78436300063708,LFP,PVDF,94.82451170857034
27,146.73717522617372,99.70931330190436,28.26381367754897,LFP,PVDF,94.66914530720885
28,146.50794042636628,99.64659638664305,28.361875943070775,LFP,PVDF,94.52125188797824
29,146.2742647324302,99.65919416116317,29.07330720531669,LFP,PVDF,94.37049337576143
30,146.04737128506096,99.72350454188434,28.20696573242479,LFP,PVDF,94.22411050649094
31,145.82141253613796,99.64765944345201,27.748030456901283,LFP,PVDF,94.0783306684761
32,145.6064091396727,99.68973989909632,27.617565352626677,LFP,PVDF,93.93961879978883
33,145.3809879018963,99.67601912579187,29.150274511347238,LFP,PVDF,93.7941857431589
34,145.16045685135478,99.63606677956594,28.96061910270693,LFP,PVDF,93.65190764603534
35,144.9510144633498,99.77083132598283,29.208159536198448,LFP,PVDF,93.5167835247418
